,noun_chunk,product,freq,overall_freq,Rank
34259,hand,B00ZPN3O2I.raw.json,122,576,53.0
22724,hand,B00N2278VC.raw.json,109,576,53.0
51,hand,B003KYSLNQ.raw.json,103,576,53.0
11190,hand,B00CT9XO4E.raw.json,106,576,53.0
47123,week,B012WF88QS.raw.json,138,571,54.0
56,week,B003KYSLNQ.raw.json,100,571,54.0
11194,week,B00CT9XO4E.raw.json,101,571,54.0
34257,week,B00ZPN3O2I.raw.json,130,571,54.0
22728,week,B00N2278VC.raw.json,102,571,54.0
34266,different temperature,B00ZPN3O2I.raw.json,112,561,55.0
46,different temperature,B003KYSLNQ.raw.json,112,561,55.0
47138,different temperature,B012WF88QS.raw.json,113,561,55.0
22723,different temperature,B00N2278VC.raw.json,112,561,55.0
11188,different temperature,B00CT9XO4E.raw.json,112,561,55.0
34258,second,B00ZPN3O2I.raw.json,125,560,56.0
57,second,B003KYSLNQ.raw.json,100,560,56.0
47127,second,B012WF88QS.raw.json,132,560,56.0
22729,second,B00N2278VC.raw.json,102,560,56.0
11195,second,B00CT9XO4E.raw.json,101,560,56.0
34262,complaint,B00ZPN3O2I.raw.json,120,550,57.0
11196,complaint,B00CT9XO4E.raw.json,101,550,57.0
55,complaint,B003KYSLNQ.raw.json,101,550,57.0
47129,complaint,B012WF88QS.raw.json,127,550,57.0
22731,complaint,B00N2278VC.raw.json,101,550,57.0
47132,french press,B012WF88QS.raw.json,124,538,58.0
11199,french press,B00CT9XO4E.raw.json,99,538,58.0
22735,french press,B00N2278VC.raw.json,99,538,58.0
60,french press,B003KYSLNQ.raw.json,99,538,58.0
34265,french press,B00ZPN3O2I.raw.json,117,538,58.0
63,people,B003KYSLNQ.raw.json,93,534,59.0
11202,people,B00CT9XO4E.raw.json,96,534,59.0
22734,people,B00N2278VC.raw.json,99,534,59.0
47128,people,B012WF88QS.raw.json,129,534,59.0
34263,people,B00ZPN3O2I.raw.json,117,534,59.0
47131,quality,B012WF88QS.raw.json,125,518,60.0
11205,quality,B00CT9XO4E.raw.json,92,518,60.0
34264,quality,B00ZPN3O2I.raw.json,117,518,60.0
66,quality,B003KYSLNQ.raw.json,89,518,60.0
22738,quality,B00N2278VC.raw.json,95,518,60.0
47146,right temperature,B012WF88QS.raw.json,102,510,61.0
34272,right temperature,B00ZPN3O2I.raw.json,102,510,61.0
11193,right temperature,B00CT9XO4E.raw.json,102,510,61.0
22730,right temperature,B00N2278VC.raw.json,102,510,61.0
53,right temperature,B003KYSLNQ.raw.json,102,510,61.0
11198,french press coffee,B00CT9XO4E.raw.json,99,504,62.0
34271,french press coffee,B00ZPN3O2I.raw.json,103,504,62.0
47142,french press coffee,B012WF88QS.raw.json,104,504,62.0
22733,french press coffee,B00N2278VC.raw.json,99,504,62.0
59,french press coffee,B003KYSLNQ.raw.json,99,504,62.0
22732,temperature setting,B00N2278VC.raw.json,100,500,63.0
34275,temperature setting,B00ZPN3O2I.raw.json,100,500,63.0
47148,temperature setting,B012WF88QS.raw.json,100,500,63.0
11197,temperature setting,B00CT9XO4E.raw.json,100,500,63.0
58,temperature setting,B003KYSLNQ.raw.json,100,500,63.0
11204,spout,B00CT9XO4E.raw.json,92,498,64.0
64,spout,B003KYSLNQ.raw.json,92,498,64.0
34270,spout,B00ZPN3O2I.raw.json,103,498,64.0
47135,spout,B012WF88QS.raw.json,119,498,64.0
22740,spout,B00N2278VC.raw.json,92,498,64.0
47145,shipping,B012WF88QS.raw.json,102,491,65.0
34273,shipping,B00ZPN3O2I.raw.json,101,491,65.0
62,shipping,B003KYSLNQ.raw.json,96,491,65.0
22737,shipping,B00N2278VC.raw.json,96,491,65.0
11201,shipping,B00CT9XO4E.raw.json,96,491,65.0
11200,different tea,B00CT9XO4E.raw.json,97,485,66.0
22736,different tea,B00N2278VC.raw.json,97,485,66.0
34278,different tea,B00ZPN3O2I.raw.json,97,485,66.0
61,different tea,B003KYSLNQ.raw.json,97,485,66.0
47153,different tea,B012WF88QS.raw.json,97,485,66.0
11208,inside,B00CT9XO4E.raw.json,82,468,67.0
22744,inside,B00N2278VC.raw.json,82,468,67.0
34274,inside,B00ZPN3O2I.raw.json,101,468,67.0
47134,inside,B012WF88QS.raw.json,121,468,67.0
69,inside,B003KYSLNQ.raw.json,82,468,67.0
47157,30 minute,B012WF88QS.raw.json,93,462,68.0
11203,30 minute,B00CT9XO4E.raw.json,92,462,68.0
22739,30 minute,B00N2278VC.raw.json,93,462,68.0
65,30 minute,B003KYSLNQ.raw.json,91,462,68.0
34281,30 minute,B00ZPN3O2I.raw.json,93,462,68.0
22753,stainless steel,B00N2278VC.raw.json,78,461,69.0
34269,stainless steel,B00ZPN3O2I.raw.json,104,461,69.0
47133,stainless steel,B012WF88QS.raw.json,123,461,69.0
11214,stainless steel,B00CT9XO4E.raw.json,78,461,69.0
75,stainless steel,B003KYSLNQ.raw.json,78,461,69.0
34277,brand,B00ZPN3O2I.raw.json,98,460,70.0
67,brand,B003KYSLNQ.raw.json,86,460,70.0
11206,brand,B00CT9XO4E.raw.json,86,460,70.0
47141,brand,B012WF88QS.raw.json,104,460,70.0
22742,brand,B00N2278VC.raw.json,86,460,70.0
11211,water level,B00CT9XO4E.raw.json,80,431,71.0
22748,water level,B00N2278VC.raw.json,80,431,71.0
72,water level,B003KYSLNQ.raw.json,80,431,71.0
34284,water level,B00ZPN3O2I.raw.json,92,431,71.0
47150,water level,B012WF88QS.raw.json,99,431,71.0
34267,kid,B00ZPN3O2I.raw.json,110,428,72.0
176,kid,B003KYSLNQ.raw.json,32,428,72.0
22725,kid,B00N2278VC.raw.json,106,428,72.0
47139,kid,B012WF88QS.raw.json,111,428,72.0
11227,kid,B00CT9XO4E.raw.json,69,428,72.0
22743,beep,B00N2278VC.raw.json,85,425,73.0
68,beep,B003KYSLNQ.raw.json,85,425,73.0
47164,beep,B012WF88QS.raw.json,85,425,73.0
11207,beep,B00CT9XO4E.raw.json,85,425,73.0
34291,beep,B00ZPN3O2I.raw.json,85,425,73.0
34286,friend,B00ZPN3O2I.raw.json,88,423,74.0
22746,friend,B00N2278VC.raw.json,81,423,74.0
71,friend,B003KYSLNQ.raw.json,81,423,74.0
47159,friend,B012WF88QS.raw.json,92,423,74.0
11210,friend,B00CT9XO4E.raw.json,81,423,74.0
11215,couple,B00CT9XO4E.raw.json,76,420,75.0
34280,couple,B00ZPN3O2I.raw.json,94,420,75.0
79,couple,B003KYSLNQ.raw.json,73,420,75.0
22750,couple,B00N2278VC.raw.json,79,420,75.0
47151,couple,B012WF88QS.raw.json,98,420,75.0
74,outside,B003KYSLNQ.raw.json,79,418,76.0
22751,outside,B00N2278VC.raw.json,79,418,76.0
47155,outside,B012WF88QS.raw.json,94,418,76.0
11213,outside,B00CT9XO4E.raw.json,79,418,76.0
34287,outside,B00ZPN3O2I.raw.json,87,418,76.0
11212,tea drinker,B00CT9XO4E.raw.json,80,416,77.0
22749,tea drinker,B00N2278VC.raw.json,80,416,77.0
34292,tea drinker,B00ZPN3O2I.raw.json,83,416,77.0
47158,tea drinker,B012WF88QS.raw.json,93,416,77.0
73,tea drinker,B003KYSLNQ.raw.json,80,416,77.0
34268,microwave,B00ZPN3O2I.raw.json,107,413,78.0
22769,microwave,B00N2278VC.raw.json,63,413,78.0
11235,microwave,B00CT9XO4E.raw.json,63,413,78.0
93,microwave,B003KYSLNQ.raw.json,63,413,78.0
47136,microwave,B012WF88QS.raw.json,117,413,78.0
34294,different type,B00ZPN3O2I.raw.json,82,410,79.0
22745,different type,B00N2278VC.raw.json,82,410,79.0
47167,different type,B012WF88QS.raw.json,82,410,79.0
11209,different type,B00CT9XO4E.raw.json,82,410,79.0
70,different type,B003KYSLNQ.raw.json,82,410,79.0
78,husband,B003KYSLNQ.raw.json,75,408,80.0
22754,husband,B00N2278VC.raw.json,77,408,80.0
11217,husband,B00CT9XO4E.raw.json,76,408,80.0
34290,husband,B00ZPN3O2I.raw.json,86,408,80.0
47156,husband,B012WF88QS.raw.json,94,408,80.0
34282,morning,B00ZPN3O2I.raw.json,93,407,81.0
85,morning,B003KYSLNQ.raw.json,71,407,81.0
11224,morning,B00CT9XO4E.raw.json,71,407,81.0
47147,morning,B012WF88QS.raw.json,101,407,81.0
22761,morning,B00N2278VC.raw.json,71,407,81.0
22762,home,B00N2278VC.raw.json,70,406,82.0
34283,home,B00ZPN3O2I.raw.json,92,406,82.0
47143,home,B012WF88QS.raw.json,104,406,82.0
86,home,B003KYSLNQ.raw.json,70,406,82.0
11225,home,B00CT9XO4E.raw.json,70,406,82.0
47160,6 month,B012WF88QS.raw.json,92,403,83.0
76,6 month,B003KYSLNQ.raw.json,76,403,83.0
22756,6 month,B00N2278VC.raw.json,76,403,83.0
11216,company,B00CT9XO4E.raw.json,76,403,83.0
22747,company,B00N2278VC.raw.json,80,403,83.0
34289,company,B00ZPN3O2I.raw.json,86,403,83.0
47162,company,B012WF88QS.raw.json,89,403,83.0
34293,6 month,B00ZPN3O2I.raw.json,83,403,83.0
11218,6 month,B00CT9XO4E.raw.json,76,403,83.0
81,company,B003KYSLNQ.raw.json,72,403,83.0
47149,house,B012WF88QS.raw.json,99,401,84.0
22752,house,B00N2278VC.raw.json,78,401,84.0
99,house,B003KYSLNQ.raw.json,60,401,84.0
11226,house,B00CT9XO4E.raw.json,69,401,84.0
34279,house,B00ZPN3O2I.raw.json,95,401,84.0
47140,office,B012WF88QS.raw.json,108,400,85.0
91,office,B003KYSLNQ.raw.json,64,400,85.0
34276,office,B00ZPN3O2I.raw.json,100,400,85.0
11233,office,B00CT9XO4E.raw.json,64,400,85.0
22767,office,B00N2278VC.raw.json,64,400,85.0
22760,reason,B00N2278VC.raw.json,71,387,86.0
84,reason,B003KYSLNQ.raw.json,71,387,86.0
34297,reason,B00ZPN3O2I.raw.json,79,387,86.0
11223,reason,B00CT9XO4E.raw.json,71,387,86.0
47154,reason,B012WF88QS.raw.json,95,387,86.0
22755,option,B00N2278VC.raw.json,76,382,87.0
47168,option,B012WF88QS.raw.json,81,382,87.0
34298,option,B00ZPN3O2I.raw.json,79,382,87.0
22741,control,B00N2278VC.raw.json,87,382,87.0
47163,control,B012WF88QS.raw.json,88,382,87.0
82,option,B003KYSLNQ.raw.json,72,382,87.0
11228,control,B00CT9XO4E.raw.json,69,382,87.0
11220,option,B00CT9XO4E.raw.json,74,382,87.0
34288,control,B00ZPN3O2I.raw.json,87,382,87.0
120,control,B003KYSLNQ.raw.json,51,382,87.0
11219,difference,B00CT9XO4E.raw.json,75,379,88.0
34299,difference,B00ZPN3O2I.raw.json,77,379,88.0
47172,difference,B012WF88QS.raw.json,77,379,88.0
77,difference,B003KYSLNQ.raw.json,75,379,88.0
22757,difference,B00N2278VC.raw.json,75,379,88.0
47166,model,B012WF88QS.raw.json,83,375,89.0
34296,model,B00ZPN3O2I.raw.json,79,375,89.0
11222,model,B00CT9XO4E.raw.json,71,375,89.0
83,model,B003KYSLNQ.raw.json,71,375,89.0
22759,model,B00N2278VC.raw.json,71,375,89.0
11243,rust,B00CT9XO4E.raw.json,59,368,90.0
34285,rust,B00ZPN3O2I.raw.json,88,368,90.0
101,rust,B003KYSLNQ.raw.json,59,368,90.0
47144,rust,B012WF88QS.raw.json,103,368,90.0
22779,rust,B00N2278VC.raw.json,59,368,90.0
11221,warm feature,B00CT9XO4E.raw.json,73,365,91.0
22758,warm feature,B00N2278VC.raw.json,73,365,91.0
34303,warm feature,B00ZPN3O2I.raw.json,73,365,91.0
47177,warm feature,B012WF88QS.raw.json,73,365,91.0
80,warm feature,B003KYSLNQ.raw.json,73,365,91.0
11234,great kettle,B00CT9XO4E.raw.json,63,359,92.0
34295,great kettle,B00ZPN3O2I.raw.json,80,359,92.0
22768,great kettle,B00N2278VC.raw.json,63,359,92.0
47161,great kettle,B012WF88QS.raw.json,90,359,92.0
92,great kettle,B003KYSLNQ.raw.json,63,359,92.0
34306,design,B00ZPN3O2I.raw.json,71,351,93.0
87,perfect temperature,B003KYSLNQ.raw.json,69,351,93.0
22763,perfect temperature,B00N2278VC.raw.json,69,351,93.0
47152,design,B012WF88QS.raw.json,97,351,93.0
22770,design,B00N2278VC.raw.json,62,351,93.0
34305,perfect temperature,B00ZPN3O2I.raw.json,72,351,93.0
